,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
120,I-Sn,2,3.321917687499581,3.321917687499581,0.014427621582131412,3.3117158184424627,3.3321195565566994,0.02040373811423679,3.3168167529710217,3.3270186220281404,0.010201869057118618
121,I-Sr,1,6.197786550948727,6.197786550948727,,6.197786550948727,6.197786550948727,0.0,6.197786550948727,6.197786550948727,0.0
122,I-Te,6,1.5267259107299989,1.5476759740670398,0.2737957372182203,1.0905866051847057,1.794577516976123,0.7039909117914174,1.4059942878454539,1.75272324475188,0.346728956906426
123,I-Ti,3,1.2238740247192932,1.1984760966647547,0.1478063570204502,1.0904123643856931,1.3827336131074317,0.2923212487217386,1.1444442305252238,1.2906048548860931,0.1461606243608693
124,I-Zn,2,3.1262303862332805,3.1262303862332805,0.6474225325055242,2.6684335232056564,3.5840272492609047,0.9155937260552482,2.8973319547194682,3.355128817747093,0.45779686302762457
125,I-Zr,3,1.5872404065322403,1.589703087995478,0.1581603502793765,1.4278630958851566,1.7441550357160858,0.3162919398309292,1.5087830919403173,1.666929061855782,0.1581459699154646
126,In-N,1,1.9140172880411677,1.9140172880411677,,1.9140172880411677,1.9140172880411677,0.0,1.9140172880411677,1.9140172880411677,0.0
127,In-O,1,1.8667499072839566,1.8667499072839566,,1.8667499072839566,1.8667499072839566,0.0,1.8667499072839566,1.8667499072839566,0.0
128,In-P,1,2.3002400918153736,2.3002400918153736,,2.3002400918153736,2.3002400918153736,0.0,2.3002400918153736,2.3002400918153736,0.0
129,In-S,1,3.148554795535873,3.148554795535873,,3.148554795535873,3.148554795535873,0.0,3.148554795535873,3.148554795535873,0.0
130,In-Sb,1,1.306965899549248,1.306965899549248,,1.306965899549248,1.306965899549248,0.0,1.306965899549248,1.306965899549248,0.0
131,In-Se,1,2.739825926660565,2.739825926660565,,2.739825926660565,2.739825926660565,0.0,2.739825926660565,2.739825926660565,0.0
132,In-Te,1,2.3619934395706057,2.3619934395706057,,2.3619934395706057,2.3619934395706057,0.0,2.3619934395706057,2.3619934395706057,0.0
133,Ir-O,1,0.23401017294961265,0.23401017294961265,,0.23401017294961265,0.23401017294961265,0.0,0.23401017294961265,0.23401017294961265,0.0
134,Ir-S,1,0.10810152882388446,0.10810152882388446,,0.10810152882388446,0.10810152882388446,0.0,0.10810152882388446,0.10810152882388446,0.0
135,Mn-O,1,3.191629277991421,3.191629277991421,,3.191629277991421,3.191629277991421,0.0,3.191629277991421,3.191629277991421,0.0
136,Mo-O,1,2.3167587021309046,2.3167587021309046,,2.3167587021309046,2.3167587021309046,0.0,2.3167587021309046,2.3167587021309046,0.0
137,Mo-S,3,2.2829770249121046,2.3279280396394992,0.27517297712860506,1.9880960806569,2.5329069544399143,0.5448108737830144,2.1580120601481996,2.4304174970397066,0.272405436891507
138,Mo-Se,3,2.0969134308391792,2.1190653734421043,0.24284950153300716,1.8437468794359342,2.3279280396394992,0.48418116020356505,1.9814061264390193,2.223496706540802,0.24209058010178253
139,Mo-Te,3,1.7981571805284187,1.8437468794359342,0.21636650317499959,1.5626285814924223,1.9880960806569,0.42546749916447757,1.7031877304641783,1.915921480046417,0.21273374958223878
140,Ni-O,1,2.3464667865218782,2.3464667865218782,,2.3464667865218782,2.3464667865218782,0.0,2.3464667865218782,2.3464667865218782,0.0
